性格診断チャート
decision

設問ID,最終フラグ,設問文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,遷移先1,遷移先2,遷移先3,遷移先4,遷移先5
1,0,人との関わり方について最も当てはまるのは？,大勢と過ごすのが好き,少数の親しい人と過ごすのが好き,一人の時間を大切にする,,,2,3,4,,
2,0,大勢の人と一緒にいる時のあなたは？,話の中心になる,みんなの話を聞く,場を盛り上げる,,,5,6,7,,
3,0,親しい友人との時間で大切にするのは？,深い話をする,一緒に何かする,お互いを理解する,,,8,9,10,,
4,0,一人の時間をどう過ごしますか？,考え事をする,趣味に没頭する,リラックスする,,,11,12,13,,
5,0,新しいことに取り組む時は？,計画を立ててから始める,まず行動してみる,他の人の意見を聞く,,,14,15,16,,
6,0,困った時にまず何をしますか？,自分で解決策を考える,信頼できる人に相談する,情報を集める,,,17,18,19,,
7,0,グループ活動では？,リーダーシップをとる,サポート役に回る,アイデアを提案する,,,20,21,22,,
8,0,物事を決める時に重視するのは？,論理的な根拠,直感や感情,過去の経験,,,23,24,25,,
9,0,新しい環境に対して？,積極的に適応する,慎重に様子を見る,自分のペースで慣れる,,,26,27,28,,
10,0,ストレスを感じた時は？,原因を分析する,感情を表に出す,一人で整理する,,,29,30,31,,
11,0,目標に向かう時のスタイルは？,着実に段階を踏む,直感的に進む,柔軟に調整する,,,32,33,34,,
12,0,創作や表現活動では？,独創性を重視する,技術を磨く,他者との協働を大切にする,,,35,36,37,,
13,0,学習や成長について？,体系的に学ぶ,実践を通じて学ぶ,他者から学ぶ,,,38,39,40,,
14,1,計画的なあなたが最も大切にするのは？,効率性,完璧性,安定性,,,1,2,3,,
15,1,行動派のあなたが重視するのは？,スピード,チャレンジ,結果,,,4,5,6,,
16,1,協調性を重視するあなたの強みは？,チームワーク,コミュニケーション,サポート力,,,7,8,9,,
17,1,問題解決能力の高いあなたの特徴は？,論理思考,創造力,持続力,,,10,11,12,,
18,1,相談上手なあなたが大切にするのは？,共感力,傾聴力,助言力,,,13,14,15,,
19,1,情報収集力の高いあなたの長所は？,分析力,好奇心,判断力,,,16,17,18,,
20,1,リーダータイプのあなたの価値観は？,責任感,決断力,影響力,,,19,20,21,,
21,1,サポータータイプのあなたの魅力は？,思いやり,協力性,安定感,,,22,23,24,,
22,1,アイデア豊富なあなたの原動力は？,想像力,好奇心,表現力,,,25,26,27,,
23,1,論理派のあなたが追求するのは？,真実,効率,システム,,,28,29,30,,
24,1,感情派のあなたが重視するのは？,人間関係,価値観,体験,,,31,32,33,,
25,1,経験派のあなたの信念は？,実践主義,伝統,安全性,,,34,35,36,,
26,1,適応力の高いあなたの特質は？,柔軟性,学習力,バランス感覚,,,37,38,39,,
27,1,慎重派のあなたが大切にするのは？,安全性,確実性,信頼性,,,40,41,42,,
28,1,マイペースなあなたの魅力は？,独立性,集中力,創造性,,,43,44,45,,
29,1,分析的なあなたの強みは？,客観性,洞察力,問題解決力,,,46,47,48,,
30,1,表現力豊かなあなたの特徴は？,感受性,コミュニケーション力,影響力,,,49,50,51,,
31,1,内省的なあなたが追求するのは？,自己理解,深い思考,精神的成長,,,52,53,54,,
32,1,継続力のあるあなたの価値観は？,忍耐力,責任感,目標達成,,,55,56,57,,
33,1,直感的なあなたの原動力は？,ひらめき,感性,可能性,,,58,59,60,,
34,1,調整力のあるあなたの長所は？,バランス感覚,協調性,臨機応変,,,61,62,63,,
35,1,独創的なあなたが重視するのは？,オリジナリティ,芸術性,自己表現,,,64,65,66,,
36,1,技術派のあなたの追求するものは？,専門性,品質,完成度,,,67,68,69,,
37,1,協働派のあなたが大切にするのは？,チームワーク,相互支援,共同目標,,,70,71,72,,
38,1,理論派のあなたの特徴は？,体系性,論理性,知識,,,73,74,75,,
39,1,実践派のあなたの強みは？,行動力,現実性,成果,,,76,77,78,,
40,1,学習派のあなたが重視するのは？,成長,知識,理解,,,79,80,81,,

診断結果ID,ポイント下限,ポイント上限,表示文章
37,,,あなたは「柔軟性の高い適応者」タイプです。変化する環境に素早く適応し、状況に応じて行動を調整できます。
38,,,あなたは「学習力の高い適応者」タイプです。新しい環境や状況から積極的に学び、成長し続けます。
39,,,あなたは「バランス感覚の優れた適応者」タイプです。様々な要素を総合的に判断し、最適なバランスを保ちます。
40,,,あなたは「安全第一の慎重派」タイプです。リスクを最小限に抑え、安全で確実な道を選択します。
41,,,あなたは「確実性重視の慎重派」タイプです。不確実な要素を排除し、確実な結果を求めます。
42,,,あなたは「信頼性重視の慎重派」タイプです。信頼できる情報や人を重視し、確実性を基に判断します。
43,,,あなたは「独立性を重視するマイペース」タイプです。他者に依存せず、自分の判断で行動することを大切にします。
44,,,あなたは「集中力の高いマイペース」タイプです。自分のペースで深く集中し、高い成果を生み出します。
45,,,あなたは「創造性豊かなマイペース」タイプです。独自の視点とペースで、オリジナルな作品や解決策を創造します。
46,,,あなたは「客観性を重視する分析家」タイプです。感情に左右されず、冷静で客観的な視点で物事を分析します。
47,,,あなたは「洞察力の鋭い分析家」タイプです。表面的な情報だけでなく、本質や背景を見抜く能力があります。
48,,,あなたは「問題解決力の高い分析家」タイプです。複雑な問題を分析し、効果的な解決策を見つけ出します。
49,,,あなたは「感受性豊かな表現者」タイプです。繊細な感性で周囲を感じ取り、それを豊かに表現します。
50,,,あなたは「コミュニケーション力の高い表現者」タイプです。自分の考えを効果的に伝え、人々に影響を与えます。
51,,,あなたは「影響力のある表現者」タイプです。表現を通じて多くの人に感動や変化をもたらします。
52,,,あなたは「自己理解の深い内省者」タイプです。自分自身を深く見つめ、内面の成長を大切にします。
53,,,あなたは「深い思考力を持つ内省者」タイプです。表面的でなく、物事の本質について深く考えます。
54,,,あなたは「精神的成長を重視する内省者」タイプです。内面的な成長と自己実現を人生の目標とします。
55,,,あなたは「忍耐力のある継続者」タイプです。困難な状況でも諦めず、最後まで粘り強く取り組みます。
56,,,あなたは「責任感の強い継続者」タイプです。与えられた責任を全うし、コミットメントを大切にします。
57,,,あなたは「目標達成力の高い継続者」タイプです。明確な目標を設定し、着実に達成まで導きます。
58,,,あなたは「ひらめき重視の直感派」タイプです。論理よりも直感を信じ、瞬間的なひらめきを大切にします。
59,,,あなたは「感性豊かな直感派」タイプです。優れた感性で物事を感じ取り、美しさや価値を見出します。
60,,,あなたは「可能性を重視する直感派」タイプです。既存の枠を超えた新しい可能性を常に探求します。
61,,,あなたは「バランス感覚の優れた調整者」タイプです。対立する要素を調和させ、最適なバランスを作り出します。
62,,,あなたは「協調性の高い調整者」タイプです。異なる意見や立場の人々をまとめ、合意形成を図ります。
63,,,あなりは「臨機応変な調整者」タイプです。状況の変化に素早く対応し、柔軟に調整することができます。
64,,,あなたは「オリジナリティ重視の独創家」タイプです。既存のものにはない、完全にオリジナルな価値を創造します。
65,,,あなたは「芸術性を重視する独創家」タイプです。美的センスと芸術的視点で、美しく意味深い作品を生み出します。
66,,,あなたは「自己表現重視の独創家」タイプです。自分らしさを大切にし、独自の方法で自己を表現します。
67,,,あなたは「専門性を重視する技術者」タイプです。特定分野の深い知識と技術を極め、プロフェッショナルを目指します。
68,,,あなたは「品質重視の技術者」タイプです。妥協を許さず、最高品質の成果を追求し続けます。
69,,,あなたは「完成度重視の技術者」タイプです。細部まで完璧に仕上げ、理想的な完成形を実現します。
70,,,あなたは「チームワーク重視の協働者」タイプです。個人の成果よりもチーム全体の成功を優先します。
71,,,あなたは「相互支援重視の協働者」タイプです。メンバー同士が支え合い、助け合うことを大切にします。
72,,,あなたは「共同目標重視の協働者」タイプです。全員が同じ目標に向かって一致団結することを重視します。
73,,,あなたは「体系性重視の理論家」タイプです。知識を体系的に整理し、理論的な枠組みを構築します。
74,,,あなたは「論理性重視の理論家」タイプです。論理的な思考で複雑な概念を明確に説明し、理解を深めます。
75,,,あなたは「知識重視の理論家」タイプです。幅広い知識を追求し、知的な探求を人生の喜びとします。
76,,,あなたは「行動力のある実践家」タイプです。考えるより先に行動し、実際の経験から学びます。
77,,,あなたは「現実性重視の実践家」タイプです。理想よりも現実を重視し、実現可能な解決策を提示します。
78,,,あなたは「成果重視の実践家」タイプです。具体的で測定可能な成果を出すことを最優先にします。
79,,,あなたは「成長重視の学習者」タイプです。常に自己成長を求め、新しいことを学び続けることを楽しみます。
80,,,あなたは「知識重視の学習者」タイプです。幅広い分野の知識を身につけ、教養を深めることを大切にします。
81,,,あなたは「理解重視の学習者」タイプです。表面的な知識ではなく、深い理解と洞察を重視します。
