キャリア適性診断（分岐型）
decision

設問ID,最終フラグ,カテゴリ,設問文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,遷移先1,遷移先2,遷移先3,遷移先4,遷移先5
1,0,キャリア,あなたはどのような働き方を好みますか？,チームで協力して働く,一人で集中して働く,人と接する仕事をしたい,創作活動に取り組みたい,,2,3,4,5,
2,0,チーム,チーム内での役割で最も得意なのは？,リーダーシップを発揮,メンバーをサポート,アイデアを提案,調整・まとめ役,,6,7,8,9,
3,0,個人,個人作業で重視することは？,効率性と速度,品質と完璧性,創造性と独創性,専門性と深さ,,10,11,12,13,
4,0,対人,人との関わりで重要視するのは？,コミュニケーション,教育・指導,カウンセリング,営業・販売,,14,15,16,17,
5,0,創作,創作活動で大切にするのは？,芸術性と美しさ,実用性と機能性,革新性と新しさ,技術的な精度,,18,19,20,21,
6,1,リーダー,リーダーとしての強みは？,戦略的思考,人望と信頼,決断力,コミュニケーション力,,1,2,3,4,
7,1,サポート,サポート役での得意分野は？,事務・管理業務,技術的サポート,メンタルサポート,プロジェクト支援,,5,6,7,8,
8,1,企画,アイデア提案での強みは？,新規事業企画,商品・サービス企画,マーケティング企画,システム・IT企画,,9,10,11,12,
9,1,調整,調整役としての特徴は？,社内調整,対外折衝,プロセス管理,品質管理,,13,14,15,16,
10,1,効率,効率重視の仕事スタイルは？,業務改善・最適化,データ分析,オペレーション管理,コスト管理,,17,18,19,20,
11,1,品質,品質重視での適性分野は？,品質保証・管理,研究開発,技術指導,監査・検査,,21,22,23,24,
12,1,創造,創造性を活かせる分野は？,デザイン・広告,商品開発,コンテンツ制作,アート・表現,,25,26,27,28,
13,1,専門,専門性を活かせる領域は？,技術エキスパート,専門コンサルタント,研究者,スペシャリスト,,29,30,31,32,
14,1,コミュニケーション,コミュニケーション力を活かすなら？,営業・販売,広報・PR,接客・サービス,社内コミュニケーション,,33,34,35,36,
15,1,教育,教育・指導での適性は？,企業研修,専門技術指導,人材育成,メンタリング,,37,38,39,40,
16,1,カウンセリング,カウンセリング分野での強みは？,キャリアカウンセリング,メンタルヘルス,人間関係相談,ライフコーチング,,41,42,43,44,
17,1,営業,営業・販売での得意領域は？,法人営業,個人営業,技術営業,海外営業,,45,46,47,48,
18,1,芸術,芸術性重視の分野は？,グラフィックデザイン,空間デザイン,映像・音響,ファッション,,49,50,51,52,
19,1,実用,実用性重視の創作分野は？,UI/UXデザイン,プロダクトデザイン,建築・設計,エンジニアリング,,53,54,55,56,
20,1,革新,革新性を活かせる分野は？,新規事業,スタートアップ,R&D,イノベーション推進,,57,58,59,60,
21,1,技術,技術的精度を活かすなら？,システム開発,製造技術,精密機器,科学技術,,61,62,63,64,

診断結果ID,カテゴリ,ポイント下限,ポイント上限,表示文章
19,,,,あなたは「オペレーションマネージャー」です。効率的な運営システムの構築と管理が得意です。運用管理、ロジスティクス、サプライチェーンなどの分野に適性があります。
20,,,,あなたは「コストマネジメントスペシャリスト」です。コスト最適化と財務効率の改善が得意です。財務管理、コスト分析、予算管理などが適職です。
21,,,,あなたは「品質保証エキスパート」です。製品・サービスの品質確保と改善が得意です。品質管理、検査業務、標準化推進などの分野で力を発揮できます。
22,,,,あなたは「研究開発者」です。新しい技術や知識の創出に情熱を注ぐことができます。R&D、技術研究、学術研究などの分野に向いています。
23,,,,あなたは「技術指導者」です。専門技術の教育と指導を通じて人材育成に貢献できます。技術教育、OJT、技術伝承などが適職です。
24,,,,あなたは「監査・検査スペシャリスト」です。客観的な視点で品質や適合性を評価することが得意です。内部監査、外部監査、検査業務などの分野に適性があります。
25,,,,あなたは「クリエイティブデザイナー」です。視覚的な美しさと創造性で人々に感動を与えることができます。グラフィックデザイン、UI/UXデザイン、ブランディングなどが適職です。
26,,,,あなたは「プロダクトデベロッパー」です。革新的で魅力的な製品を開発することが得意です。商品開発、プロダクトマネジメント、イノベーション推進などの分野で力を発揮できます。
27,,,,あなたは「コンテンツクリエイター」です。魅力的なコンテンツで人々に価値を提供することができます。コンテンツ制作、編集、メディア運営などが適職です。
28,,,,あなたは「アーティスト・表現者」です。芸術的な表現を通じて独自の価値を創造できます。アート、デザイン、表現活動、文化事業などの分野に向いています。
29,,,,あなたは「技術エキスパート」です。深い専門知識と技術力で課題解決に貢献できます。技術開発、技術コンサルティング、スペシャリスト職などが適職です。
30,,,,あなたは「専門コンサルタント」です。専門知識を活かして他者の課題解決を支援できます。コンサルティング、アドバイザリー、専門サービスなどの分野で力を発揮できます。
31,,,,あなたは「研究者」です。学術的な探究心で新しい知見を生み出すことができます。学術研究、シンクタンク、研究機関などが適職です。
32,,,,あなたは「スペシャリスト」です。特定分野の高度な専門性を持ち、その道のプロフェッショナルとして活躍できます。専門職、エキスパート職、技術職などの分野に適性があります。
33,,,,あなたは「セールスプロフェッショナル」です。優れたコミュニケーション力で顧客との関係を築き、売上に貢献できます。営業、販売、アカウント管理などが適職です。
34,,,,あなたは「PR・広報スペシャリスト」です。効果的な情報発信で組織のブランド価値向上に貢献できます。広報、PR、マーケティングコミュニケーションなどの分野で力を発揮できます。
35,,,,あなたは「サービスプロフェッショナル」です。顧客満足度の向上と優れたサービス提供が得意です。接客、カスタマーサービス、ホスピタリティなどが適職です。
36,,,,あなたは「インナーコミュニケーター」です。組織内の情報共有と連携促進に貢献できます。社内広報、人事、組織開発などの分野に適性があります。
37,,,,あなたは「企業研修トレーナー」です。組織の人材育成と能力開発に貢献できます。研修企画、人材開発、教育プログラム設計などが適職です。
38,,,,あなたは「技術トレーナー」です。専門技術の指導と技術者育成が得意です。技術教育、技術指導、技術伝承などの分野で力を発揮できます。
39,,,,あなたは「人材育成スペシャリスト」です。個人の成長と組織の発展を支援することができます。人材開発、キャリア開発、組織開発などが適職です。
40,,,,あなたは「メンター・コーチ」です。他者の成長を支援し、ポテンシャルを引き出すことが得意です。コーチング、メンタリング、カウンセリングなどの分野に適性があります。
41,,,,あなたは「キャリアカウンセラー」です。個人のキャリア形成と職業選択を支援できます。キャリア相談、就職支援、転職支援などが適職です。
42,,,,あなたは「メンタルヘルス専門家」です。心の健康をサポートし、ウェルビーイングの向上に貢献できます。メンタルヘルス、カウンセリング、心理支援などの分野で力を発揮できます。
43,,,,あなたは「人間関係コンサルタント」です。対人関係の改善と円滑なコミュニケーション促進が得意です。人間関係相談、コミュニケーション研修、組織開発などが適職です。
44,,,,あなたは「ライフコーチ」です。人生全般の目標達成と充実した生活の実現を支援できます。ライフコーチング、パーソナルコーチング、ライフプランニングなどの分野に適性があります。
45,,,,あなたは「法人営業エキスパート」です。企業間取引での営業活動と関係構築が得意です。BtoB営業、アカウント営業、ソリューション営業などが適職です。
46,,,,あなたは「個人営業スペシャリスト」です。個人顧客との信頼関係構築と提案営業が得意です。BtoC営業、リテール営業、個人向けサービスなどの分野で力を発揮できます。
47,,,,あなたは「技術営業エンジニア」です。技術的な知識を活かした専門営業が得意です。技術営業、プリセールス、ソリューション提案などが適職です。
48,,,,あなたは「グローバル営業プロフェッショナル」です。国際的な営業活動とクロスカルチャー対応が得意です。海外営業、国際事業、グローバル展開などの分野に適性があります。
49,,,,あなたは「グラフィックデザイナー」です。視覚的な表現を通じて効果的なコミュニケーションを実現できます。グラフィックデザイン、ブランドデザイン、DTPなどが適職です。
50,,,,あなたは「空間デザイナー」です。空間の魅力を最大化し、機能的で美しい環境を創造できます。インテリアデザイン、建築デザイン、展示デザインなどの分野で力を発揮できます。
51,,,,あなたは「映像・音響クリエイター」です。動画や音響を通じて感動的な体験を提供できます。映像制作、音響制作、マルチメディアコンテンツなどが適職です。
52,,,,あなたは「ファッションクリエイター」です。ファッションとスタイルを通じて人々の魅力を引き出すことができます。ファッションデザイン、スタイリング、アパレル企画などの分野に適性があります。
53,,,,あなたは「UI/UXデザイナー」です。ユーザー体験を重視した実用的で使いやすいデザインが得意です。UIデザイン、UXデザイン、プロダクトデザインなどが適職です。
54,,,,あなたは「プロダクトデザイナー」です。機能性と美しさを両立した製品デザインができます。プロダクトデザイン、工業デザイン、製品開発などの分野で力を発揮できます。
55,,,,あなたは「建築・設計スペシャリスト」です。機能的で美しい建築・設計を通じて社会に貢献できます。建築設計、都市計画、設計コンサルティングなどが適職です。
56,,,,あなたは「エンジニアリングデザイナー」です。技術的な精度と実用性を重視した設計が得意です。設計エンジニア、技術設計、システム設計などの分野に適性があります。
57,,,,あなたは「新規事業デベロッパー」です。革新的なビジネスモデルで新しい価値を創造できます。新規事業開発、事業企画、イノベーション推進などが適職です。
58,,,,あなたは「スタートアップエンジニア」です。スピード感を持って新しいサービスを立ち上げることができます。スタートアップ、ベンチャー企業、新規サービス開発などの分野で力を発揮できます。
59,,,,あなたは「R&Dイノベーター」です。研究開発を通じて技術革新を推進できます。研究開発、技術革新、先端技術開発などが適職です。
60,,,,あなたは「イノベーション推進リーダー」です。組織の革新と変革をリードすることができます。イノベーション推進、デジタル変革、組織変革などの分野に適性があります。
61,,,,あなたは「システム開発エンジニア」です。高品質なシステムとソフトウェアを開発できます。システム開発、ソフトウェアエンジニア、ITシステムなどが適職です。
62,,,,あなたは「製造技術エンジニア」です。製造プロセスの最適化と品質向上に貢献できます。製造技術、生産技術、品質管理などの分野で力を発揮できます。
63,,,,あなたは「精密機器スペシャリスト」です。高精度な機器や装置の開発・保守が得意です。精密機器、計測器、医療機器などが適職です。
64,,,,あなたは「科学技術研究者」です。科学的な探究を通じて技術進歩に貢献できます。科学研究、技術研究、学術研究などの分野に適性があります。
